tconst,directors,writers
tt0246644,"nm0332985,nm0881759",nm0137506
tt0246645,nm0881759,nm0137506
tt0246647,"nm5133460,nm0620788",nm0620788
tt0246648,nm0848536,"nm0149035,nm0195755,nm0848536"
tt0246650,nm0130549,\N
tt0246651,nm0619694,\N
tt0246652,nm0906080,nm0737259
tt0246654,nm0620788,"nm4239955,nm0620788"
tt0246656,nm0344780,nm0199101
tt0246657,nm0619694,\N
tt0246659,nm0923184,nm0923184
tt0246661,nm0620788,\N
tt0246664,nm0619162,nm0619162
tt0246665,nm0619694,\N
tt0246668,nm0631272,\N
tt0246669,nm0899004,nm0899004
tt0246672,nm0755495,nm0755495
tt0246674,nm0269778,nm0269778
tt0246677,nm0878756,"nm0001425,nm0682830"
tt0246678,\N,\N
tt0246681,nm0620788,"nm4236424,nm0620788"
tt0246683,nm0194165,nm0389348
tt0246685,nm0382668,"nm0382668,nm0597132"
tt0246687,nm0347899,"nm0347899,nm1126068"
tt0246688,nm0284638,"nm0182275,nm0701966"
tt0246689,nm0177356,"nm0401076,nm0612232"
tt0246692,nm0647718,nm0421314
tt0246694,nm0639007,nm0817441
tt0246695,nm0378050,\N
tt0246697,"nm0125372,nm0915421",\N
tt0246701,nm0670324,nm3800847
tt0246702,nm0854390,nm0854390
tt0246703,"nm0357143,nm0810712",nm0412328
tt0246704,nm0468107,nm0468107
tt0246705,nm0280587,\N
tt0246707,nm0667367,\N
tt0246710,"nm0398876,nm0515529","nm0398876,nm0515529"
tt0246711,nm0620788,"nm3454756,nm0620788"
tt0246712,nm0192967,nm0528573
tt0246713,nm0849195,\N
tt0246717,nm0190988,"nm0190988,nm1165918,nm0850309,nm0954820"
tt0246718,nm0344780,"nm0045572,nm0344780,nm0822136"
tt0246719,nm0002140,"nm0002140,nm0340180,nm0765403"
tt0246721,"nm0586798,nm0688093",\N
tt0246722,"nm1457820,nm1551293",nm0766360
tt0246723,nm0619162,\N
tt0246724,nm0619162,nm0619162
tt0246725,nm0670325,"nm0634779,nm0670325"
tt0246726,nm0765881,nm3259882
tt0246727,nm0787511,\N
tt0246728,nm0619694,\N
tt0246729,nm0576494,"nm0576494,nm1019121"
tt0246730,nm0867827,nm0867827
tt0246733,nm0438773,nm0438773
tt0246734,nm0880870,nm0880870
tt0246736,nm0125452,\N
tt0246737,nm0898565,nm0619760
tt0246739,nm0748582,nm0304283
tt0246740,nm0304356,"nm1355234,nm0592893,nm0611514,nm1455842"
tt0246741,nm0619162,nm0619162
tt0246743,nm0619103,nm1639992
tt0246744,nm0127804,"nm0127804,nm0545382,nm0889761"
tt0246745,nm0620788,nm0620788
tt0246746,nm0620788,\N
tt0246747,nm0137588,nm0062777
tt0246748,nm0235852,"nm0178572,nm0689848,nm0949430"
tt0246749,nm0110126,nm0908202
tt0246757,nm0712354,nm0712354
tt0246760,nm0999961,nm0999961
tt0246762,nm0365311,nm0365311
tt0246763,nm0503999,nm0588667
